,Movie_Name,Release_Yr,Movie_Rating,Duration,IMDb_Rating,Popularity,Genre,Movie_Desc,Director,Writers,Movie_stars,Oscars_Won,Awards_Won,Nominations
0,The Shawshank Redemption,1994,R,2h 22m,9.3,722,Drama,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Frank Darabont,"['Stephen King', 'Frank Darabont']","['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']",7,0,0
1,The Godfather,1972,R,2h 55m,9.2,805,CrimeDrama,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,"['Mario Puzo', 'Francis Ford Coppola']","['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton', 'Robert Duvall', 'Sterling Hayden', 'John Marley', 'Richard Conte', 'Al Lettieri', 'Abe Vigoda', 'Talia Shire', 'Gianni Russo', 'John Cazale', 'Rudy Bond', 'Al Martino', 'Morgana King', 'Lenny Montana']",0,0,0
2,The Dark Knight,2008,PG-13,2h 32m,9.0,10810,"Action, Crime, Drama","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,"['Jonathan Nolan', 'Christopher Nolan', 'David S. Goyer']","['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine', 'Maggie Gyllenhaal', 'Gary Oldman', 'Morgan Freeman']",2,0,0
4,12 Angry Men,1957,Approved,1h 36m,9.0,33931,"Crime, Drama",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,['Reginald Rose'],"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler', 'E.G. Marshall', 'Jack Klugman', 'Edward Binns', 'Jack Warden', 'Joseph Sweeney', 'Ed Begley', 'George Voskovec', 'Robert Webber', 'Rudy Bond', 'Tom Gorman', 'James Kelly', 'Billy Nelson', 'John Savoca', 'Walter Stocker']",3,0,0
5,Schindler's List,1993,R,3h 15m,9.0,1829,"Biography, Drama, History","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"['Thomas Keneally', 'Steven Zaillian']","['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall', 'Jonathan Sagall', 'Embeth Davidtz', 'Malgorzata Gebel', 'Shmuel Levy', 'Mark Ivanir', 'Béatrice Macola', 'Andrzej Seweryn', 'Friedrich von Thun', 'Krzysztof Luft', 'Harry Nehring', 'Leo John', 'Norbert Weisser', 'Adi Nitzan', 'Mila Pfefferberg', 'Michael Schneider', 'Miri Fabian']",7,0,0
6,The Lord of the Rings: The Return of the King,2003,PG-13,3h 21m,9.0,27647,"Action
Adventure
Drama",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"['J.R.R. Tolkien', 'Fran Walsh', 'Philippa Boyens']","['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen']",11,0,0
7,Pulp Fiction,1994,R,2h 34m,8.9,1221,CrimeDrama,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"['Quentin Tarantino', 'Roger Avary']","['John Travolta', 'Uma Thurman', 'Samuel L. Jackson']",1,0,0
8,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58m,8.9,13412,"['Action', 'Adventure', 'Drama']",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"['J.R.R. Tolkien', 'Fran Walsh', 'Philippa Boyens']","['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean', 'Alan Howard', 'Noel Appleby', 'Sean Astin', 'Sala Baker', 'Billy Boyd', 'Andy Serkis', 'Marton Csokas', 'Viggo Mortensen', 'Megan Edwards', 'Michael Elsworth', 'Cate Blanchett', 'Mark Ferguson', 'Ian Holm', 'Christopher Lee']",4,0,0
9,"The Good, the Bad and the Ugly",1966,R,2h 58m,8.8,4702,AdventureWestern,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,"['Luciano Vincenzoni', 'Sergio Leone', 'Agenore Incrocci']","['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']",2,0,5
10,Forrest Gump,1994,PG-13,2h 22m,8.8,21017,DramaRomance,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Robert Zemeckis,"['Winston Groom', 'Eric Roth']","['Tom Hanks', 'Robin Wright', 'Gary Sinise']",6,0,0
